dataset_uuid,topic_name
f18a1f3e-5755-4dc7-b8ad-08d88638849f,Housing
f6a0ac90-f820-49fe-87a8-effd93c71629,Elections
f6a0ac90-f820-49fe-87a8-effd93c71629,Labor
826106ad-06ce-488a-af7b-297c5a285684,Elections
38950180-5fbb-43a2-8ae4-81b08d90589d,Transportation
38950180-5fbb-43a2-8ae4-81b08d90589d,Labor
38950180-5fbb-43a2-8ae4-81b08d90589d,Weather
4210c6d6-353f-4bad-b09e-d25f9b5d58b4,Science & Research
ed24d74d-6290-465d-9998-b562d877aea7,Transportation
ed24d74d-6290-465d-9998-b562d877aea7,Energy
6cf127b1-4959-46bb-bff7-23e173dfb11a,Environment
6cf127b1-4959-46bb-bff7-23e173dfb11a,Business
c3d1e359-6687-42ca-810c-d03437099487,Water
c3d1e359-6687-42ca-810c-d03437099487,Weather
c3d1e359-6687-42ca-810c-d03437099487,Elections
b6989946-3af2-4d2e-ae29-f209e49e3069,Public Safety
b6989946-3af2-4d2e-ae29-f209e49e3069,Social Services
b6989946-3af2-4d2e-ae29-f209e49e3069,Housing
8cbb2bcd-dc65-4f1a-b377-56d161f6573c,Transportation
8cbb2bcd-dc65-4f1a-b377-56d161f6573c,Housing
bd283ba1-2e33-4a07-a05c-df901d1ff7a5,Criminal Justice
bd283ba1-2e33-4a07-a05c-df901d1ff7a5,Business
c90f454c-0414-4e51-a1f6-f798775b0f79,Labor
c90f454c-0414-4e51-a1f6-f798775b0f79,Science & Research
d745dea1-f5f9-4cef-9f9d-e4b97e8d316a,Health
9cf6524c-82c2-43b3-a697-b059dd929ef5,Finance
9cf6524c-82c2-43b3-a697-b059dd929ef5,Transportation
424e272e-00d1-4868-86e6-eae60546e43b,Science & Research
68e49e78-bb75-4df3-adc1-a37a4ffebc4b,Social Services
68e49e78-bb75-4df3-adc1-a37a4ffebc4b,Demographics
9097d17d-8a49-46e4-a2d6-7eefd63f3736,Transportation
9097d17d-8a49-46e4-a2d6-7eefd63f3736,Demographics
9097d17d-8a49-46e4-a2d6-7eefd63f3736,Finance
a646b9eb-1409-4575-bf62-b9b880ed5b0d,Finance
733cca93-fcce-445e-99b6-74c2f442e53b,Weather
8e2746f9-2bd2-4117-a889-dd112bac99fe,Labor
8e2746f9-2bd2-4117-a889-dd112bac99fe,Environment
8e2746f9-2bd2-4117-a889-dd112bac99fe,Water
8d4b2999-fa02-406f-a040-9e9c96fe72aa,Health
8d4b2999-fa02-406f-a040-9e9c96fe72aa,Labor
e537cfcf-7edb-4d20-9154-9a3b21707daa,Transportation
e537cfcf-7edb-4d20-9154-9a3b21707daa,Weather
e537cfcf-7edb-4d20-9154-9a3b21707daa,Social Services
8003204b-36f1-40c9-9b0a-b4ece69b1f47,Climate
8003204b-36f1-40c9-9b0a-b4ece69b1f47,Business
8003204b-36f1-40c9-9b0a-b4ece69b1f47,Health
4df3f2bd-2e6c-40dd-beab-6d9e0703b541,Social Services
4df3f2bd-2e6c-40dd-beab-6d9e0703b541,Energy
4df3f2bd-2e6c-40dd-beab-6d9e0703b541,Criminal Justice
c6f73d9b-f279-46a7-83a2-5f7d9423fc8f,Health
c6f73d9b-f279-46a7-83a2-5f7d9423fc8f,Social Services
543fb4c4-6055-4b24-ae73-181ca3e948a0,Housing
543fb4c4-6055-4b24-ae73-181ca3e948a0,Water
2f5e8b05-c9d4-4ddf-a858-2e88bd72eeee,Health
2f5e8b05-c9d4-4ddf-a858-2e88bd72eeee,Weather
a5eb6ac2-805f-4852-9b53-2641614b1af1,Demographics
858346df-3cbe-4453-81f5-cab85aaf5efd,Education
858346df-3cbe-4453-81f5-cab85aaf5efd,Geospatial
5452563c-0efa-4423-a5e9-74d0b097d718,Housing
5452563c-0efa-4423-a5e9-74d0b097d718,Science & Research
7ce71a1e-1ebd-4993-9b41-dd5b57994282,Water
8a6daf24-2e4d-48a9-9110-549e50963417,Business
8a6daf24-2e4d-48a9-9110-549e50963417,Climate
8a6daf24-2e4d-48a9-9110-549e50963417,Energy
23a5ab04-b9ef-4962-9347-3055d2c19a5b,Social Services
23a5ab04-b9ef-4962-9347-3055d2c19a5b,Weather
23a5ab04-b9ef-4962-9347-3055d2c19a5b,Transportation
45b549fd-123f-4dfa-8436-fbb295e4e1ef,Housing
ff84c02f-fd9e-499c-b61f-f0c0f8d5dde3,Housing
ff84c02f-fd9e-499c-b61f-f0c0f8d5dde3,Geospatial
a0fb2d33-c8d3-4eff-a389-bda4870cf200,Demographics
20ab6c4a-b2ec-45af-8887-c17e581c8bbe,Climate
7463ceea-9291-4306-a1a4-8e65d5f3107b,Social Services
7463ceea-9291-4306-a1a4-8e65d5f3107b,Demographics
ba806110-c623-4709-b86f-3deacfa645b3,Transportation
c29e3a3b-c249-469a-9bd6-40a65d9afa4d,Science & Research
c29e3a3b-c249-469a-9bd6-40a65d9afa4d,Energy
c29e3a3b-c249-469a-9bd6-40a65d9afa4d,Housing
ed16a813-8543-4b3f-ab7b-ad0391639462,Finance
ed16a813-8543-4b3f-ab7b-ad0391639462,Transportation
a67c796a-de0a-42c2-bd57-028cba15daec,Water
a67c796a-de0a-42c2-bd57-028cba15daec,Public Safety
a67c796a-de0a-42c2-bd57-028cba15daec,Science & Research
c3e7760b-a716-49b8-a22e-eac1877c6529,Demographics
c3e7760b-a716-49b8-a22e-eac1877c6529,Public Safety
c3e7760b-a716-49b8-a22e-eac1877c6529,Finance
e1e9d3a0-e7d4-43ab-866c-c8d96acb9d8c,Labor
e907dd2c-9c10-4729-86a8-1806a9ed1b04,Science & Research
207c4580-0c0e-48bf-bbb2-072a8def8c96,Energy
207c4580-0c0e-48bf-bbb2-072a8def8c96,Public Safety
207c4580-0c0e-48bf-bbb2-072a8def8c96,Health
ba40d97e-4d16-4be2-8a53-e1c51f528980,Criminal Justice
ba40d97e-4d16-4be2-8a53-e1c51f528980,Labor
fe826104-3dc7-4832-8aac-ebc3bda2844a,Geospatial
fe826104-3dc7-4832-8aac-ebc3bda2844a,Science & Research
fe826104-3dc7-4832-8aac-ebc3bda2844a,Energy
3afb6942-788e-446c-89fe-19e2cded10f6,Finance
3afb6942-788e-446c-89fe-19e2cded10f6,Social Services
c5107efb-ca50-480c-be0c-df843755f0d3,Social Services
c5107efb-ca50-480c-be0c-df843755f0d3,Geospatial
70b5752c-9adb-4c88-9a89-470ec1ee348b,Public Safety
70b5752c-9adb-4c88-9a89-470ec1ee348b,Health
32ab298d-d542-4620-bb9c-64ee4fcb400b,Business
cc54a24c-655f-4627-b101-fcf3868cda18,Elections
84b41206-7b28-4eb3-9115-054300d37419,Weather
84b41206-7b28-4eb3-9115-054300d37419,Labor
af17cd57-72ae-458f-a2e4-14dd7b75094b,Science & Research
af17cd57-72ae-458f-a2e4-14dd7b75094b,Finance
123f6899-4240-4b99-bff9-82805434120b,Labor
25c0a556-2c1c-4739-88b6-5c1663e1dc19,Public Safety
25c0a556-2c1c-4739-88b6-5c1663e1dc19,Energy
25c0a556-2c1c-4739-88b6-5c1663e1dc19,Environment
223fffc5-c439-4df6-8dd1-23261bdef5ca,Demographics
223fffc5-c439-4df6-8dd1-23261bdef5ca,Climate
ff57407f-0a2a-49b4-907d-7c74f01189f1,Criminal Justice
76f3ac2e-19ac-4a4f-a2f8-5badc8c406bb,Elections
76f3ac2e-19ac-4a4f-a2f8-5badc8c406bb,Geospatial
76f3ac2e-19ac-4a4f-a2f8-5badc8c406bb,Water
774ac4f7-6a68-4c3c-b9b9-10f6fa5fb2bb,Weather
524f70b9-671b-4133-8fc9-91093fb234f9,Water
524f70b9-671b-4133-8fc9-91093fb234f9,Demographics
f4747789-67aa-42b6-ab58-7a0b4e9d4ecd,Health
f4747789-67aa-42b6-ab58-7a0b4e9d4ecd,Elections
15dbc33d-dbb5-4363-bd33-9b665ad20a79,Finance
27eb151c-c2eb-4102-a421-a44ba9c3ecd1,Transportation
27eb151c-c2eb-4102-a421-a44ba9c3ecd1,Education
872104e0-5412-4569-83df-bd445712ba19,Demographics
872104e0-5412-4569-83df-bd445712ba19,Elections
872104e0-5412-4569-83df-bd445712ba19,Social Services
6f99b783-ddf4-4b45-9d63-fc8d4ba94e9d,Weather
6f99b783-ddf4-4b45-9d63-fc8d4ba94e9d,Environment
c6b0c0fb-2eff-4a9b-9d85-64b8019d80fd,Business
c6b0c0fb-2eff-4a9b-9d85-64b8019d80fd,Demographics
c6b0c0fb-2eff-4a9b-9d85-64b8019d80fd,Transportation
bc70885b-9320-431f-b840-0c49119eddc1,Transportation
bc70885b-9320-431f-b840-0c49119eddc1,Elections
bc70885b-9320-431f-b840-0c49119eddc1,Health
5c30b600-4930-4d95-b54e-5115f273b47d,Education
5c30b600-4930-4d95-b54e-5115f273b47d,Business
5c30b600-4930-4d95-b54e-5115f273b47d,Elections
83391bce-f303-4dac-8355-2c597a2a97e6,Weather
0a18bc19-596f-495a-8479-6e39686d019c,Geospatial
3e88cc65-c782-440c-8195-ff3afcb32d9b,Environment
163e344b-0a08-44d9-a337-d9fe6331fcab,Transportation
163e344b-0a08-44d9-a337-d9fe6331fcab,Demographics
abb38e52-d41b-4c96-befa-80216266977d,Public Safety
abb38e52-d41b-4c96-befa-80216266977d,Criminal Justice
3b903b34-a2b9-4de4-a9db-8d5d17709fea,Health
3b903b34-a2b9-4de4-a9db-8d5d17709fea,Weather
beb9cf5b-ef2f-46f2-86ac-850891f9ad5e,Environment
7cb043ed-ef7f-41e2-abd4-7d483f839dd9,Environment
7cb043ed-ef7f-41e2-abd4-7d483f839dd9,Elections
1da5c7c9-1bb2-4a0f-8385-bf630572896d,Climate
e507e3aa-7a25-4c22-bce2-8a4a32e918b8,Water
e507e3aa-7a25-4c22-bce2-8a4a32e918b8,Science & Research
385e2047-ad3b-4f73-a3f8-80607a1397ab,Public Safety
385e2047-ad3b-4f73-a3f8-80607a1397ab,Education
f15ac98c-ca0e-48a3-9b91-49290100ac25,Public Safety
5aae1fec-801e-4a82-82c8-499af8d9a5a3,Elections
5aae1fec-801e-4a82-82c8-499af8d9a5a3,Finance
5aae1fec-801e-4a82-82c8-499af8d9a5a3,Science & Research
299d0fe0-7eed-437b-a2cb-ab11fa68aaeb,Public Safety
c38e5885-f84b-423a-86b2-d46e6cfddd90,Geospatial
c38e5885-f84b-423a-86b2-d46e6cfddd90,Water
fef07021-0a09-4ccd-8177-8b292c5eb8c8,Finance
5bd0547c-328f-4b2b-892a-87ae82cfab53,Public Safety
5bd0547c-328f-4b2b-892a-87ae82cfab53,Climate
6e19be6a-7a31-4ff6-98f6-eba6f08a933f,Environment
073c9fe2-ec4e-449e-82c6-94b6a72cc57b,Social Services
03586fde-9448-42a6-87d8-15b855a64e52,Education
03586fde-9448-42a6-87d8-15b855a64e52,Finance
03586fde-9448-42a6-87d8-15b855a64e52,Agriculture
36767952-ccc3-4e87-b580-64045d9a6f01,Public Safety
36767952-ccc3-4e87-b580-64045d9a6f01,Social Services
b00c133f-7559-4d98-ba43-1ae6481a5930,Health
195f022e-a5d8-48a1-9dc1-b2c53d2fb063,Business
195f022e-a5d8-48a1-9dc1-b2c53d2fb063,Geospatial
195f022e-a5d8-48a1-9dc1-b2c53d2fb063,Agriculture
27d19390-3b31-4769-a847-241d9b5bc891,Weather
27d19390-3b31-4769-a847-241d9b5bc891,Water
27d19390-3b31-4769-a847-241d9b5bc891,Agriculture
490178b1-c757-4f38-8b07-7cb6cdc74aba,Science & Research
9cd1e7de-16c8-4dc9-8ec6-e86cb3999666,Criminal Justice
8f59f7a2-2320-48c1-b96f-e7799f2630fc,Business
8f59f7a2-2320-48c1-b96f-e7799f2630fc,Finance
846ef5d7-fa22-48d6-8f80-0f905879b134,Demographics
8f3765f7-1070-4088-963b-f0c20f8a2e65,Education
8f3765f7-1070-4088-963b-f0c20f8a2e65,Climate
191458cb-905f-4828-82bb-bd8b4989d00c,Environment
191458cb-905f-4828-82bb-bd8b4989d00c,Business
bf79f7c9-2759-4a5d-8f99-b968a1ff3c05,Housing
0163ab44-2e53-4cd7-ad6d-5b66e666f084,Climate
0163ab44-2e53-4cd7-ad6d-5b66e666f084,Transportation
0163ab44-2e53-4cd7-ad6d-5b66e666f084,Water
1b1cc182-4b2d-4169-ac6b-3c642a4c58d3,Criminal Justice
1b1cc182-4b2d-4169-ac6b-3c642a4c58d3,Health
9f029d90-f9d9-4d45-990a-2d45439799eb,Finance
9f029d90-f9d9-4d45-990a-2d45439799eb,Environment
ae7cad10-3e93-4c2b-88ec-fff05c35b85e,Water
ae7cad10-3e93-4c2b-88ec-fff05c35b85e,Weather
39ff20a8-4050-4c50-ae1e-950288db6f0a,Finance
895a07a4-14cf-4083-95d6-ccc6eed236ca,Demographics
3db3cb8c-a30e-4ba5-ab96-eb2d7b7ab163,Demographics
3db3cb8c-a30e-4ba5-ab96-eb2d7b7ab163,Housing
6dd2f6fc-2c83-4f77-b2d7-eb73b53c1d0b,Elections
6dd2f6fc-2c83-4f77-b2d7-eb73b53c1d0b,Housing
d1c292ac-7881-42fb-9019-6fd1b8331522,Science & Research
d1c292ac-7881-42fb-9019-6fd1b8331522,Geospatial
52f964b0-8fe9-4dd7-b8a9-35c0cc33212b,Energy
99118894-0b6c-4a3f-97a0-95fb0a124f84,Weather
99118894-0b6c-4a3f-97a0-95fb0a124f84,Public Safety
99118894-0b6c-4a3f-97a0-95fb0a124f84,Transportation
f1f6061d-bdb2-4ded-9e28-52df39dfab50,Demographics
f1f6061d-bdb2-4ded-9e28-52df39dfab50,Energy
2a0ad26c-0bcb-4898-a5a6-33bbdda1d427,Demographics
2a0ad26c-0bcb-4898-a5a6-33bbdda1d427,Public Safety
849cab32-e1e3-45fa-a608-36aa036369e9,Energy
3a3cecf8-ab0f-44af-99da-82cc7a27c189,Demographics
3a3cecf8-ab0f-44af-99da-82cc7a27c189,Geospatial
3aae740e-96c7-4766-a826-6f9c2e8efbd7,Environment
3aae740e-96c7-4766-a826-6f9c2e8efbd7,Housing
3aae740e-96c7-4766-a826-6f9c2e8efbd7,Labor
a22eeee2-69ba-4e81-852f-d8f2d2be5117,Business
a22eeee2-69ba-4e81-852f-d8f2d2be5117,Public Safety
c877d9fd-a973-4d25-96c7-5f5b6d3d9d41,Weather
c877d9fd-a973-4d25-96c7-5f5b6d3d9d41,Public Safety
77695e25-f944-44c4-a321-adb914e153b0,Social Services
77695e25-f944-44c4-a321-adb914e153b0,Climate
77695e25-f944-44c4-a321-adb914e153b0,Criminal Justice
d2d4d1f5-5487-49b8-a2c1-42eb5a2ff17b,Environment
d2d4d1f5-5487-49b8-a2c1-42eb5a2ff17b,Transportation
d2d4d1f5-5487-49b8-a2c1-42eb5a2ff17b,Education
1ef41b00-3deb-4821-b918-acb777d8d611,Business
1ef41b00-3deb-4821-b918-acb777d8d611,Social Services
cba2ff66-2100-4bc5-ba8c-35d74af745a6,Transportation
cba2ff66-2100-4bc5-ba8c-35d74af745a6,Housing
3829c8cf-e53a-4bf2-8d2a-0a74da53178b,Education
e00030b0-7467-4753-ad77-5ab51efb51bb,Finance
e00030b0-7467-4753-ad77-5ab51efb51bb,Housing
9d4c54cd-482b-495a-be1a-5d644d88fa59,Finance
059c71a6-d1ab-49d1-8d9f-3d15d03509a5,Energy
059c71a6-d1ab-49d1-8d9f-3d15d03509a5,Public Safety
059c71a6-d1ab-49d1-8d9f-3d15d03509a5,Weather
ba11e1a8-edd1-4caf-8cbd-0d535ba357b1,Science & Research
1e734b83-2fd9-4450-b38b-bf4ee2c42fe0,Energy
420780bc-ff37-42b7-8014-56f18756a807,Transportation
420780bc-ff37-42b7-8014-56f18756a807,Health
772c1afd-58e0-4275-8bc4-936816b3a34b,Demographics
772c1afd-58e0-4275-8bc4-936816b3a34b,Water
9c46b1e9-7b9e-4855-b868-3d841ee52610,Business
9c46b1e9-7b9e-4855-b868-3d841ee52610,Weather
9c46b1e9-7b9e-4855-b868-3d841ee52610,Energy
c1dd0614-488f-499d-a6f5-988561aa38ad,Demographics
4c41ccda-dd82-4424-ae3d-20bf1df6d391,Geospatial
4c41ccda-dd82-4424-ae3d-20bf1df6d391,Agriculture
4c41ccda-dd82-4424-ae3d-20bf1df6d391,Education
41517844-ffdc-44e0-ace4-cf9ede8b93c4,Geospatial
9fb1ab76-b492-4f0d-ac43-229ee45b021f,Water
3d17662d-3b59-4721-bec9-20b1767042c1,Climate
0c4fcf94-485e-428f-b4a7-cf6a0d3f8483,Weather
0c4fcf94-485e-428f-b4a7-cf6a0d3f8483,Social Services
0c4fcf94-485e-428f-b4a7-cf6a0d3f8483,Science & Research
535589e5-a472-4add-8896-6019cbf59afb,Housing
535589e5-a472-4add-8896-6019cbf59afb,Elections
f0a24a36-8157-4078-8573-e32bcde2ebad,Demographics
f0a24a36-8157-4078-8573-e32bcde2ebad,Geospatial
eb602445-3cd0-4a85-8376-575e76f025e8,Elections
eb602445-3cd0-4a85-8376-575e76f025e8,Public Safety
eb602445-3cd0-4a85-8376-575e76f025e8,Housing
e0a3e710-6d87-4f44-b8b5-3ee808229610,Criminal Justice
a78e136c-50f3-4ed6-9257-e5a851071b15,Finance
d5be8fcb-314a-42be-b0c6-5023609ea41a,Labor
818ab9f9-3068-475e-9ff3-1c36948501cc,Energy
0fee3b1a-a3b6-4b93-b589-638d44a67590,Elections
0fee3b1a-a3b6-4b93-b589-638d44a67590,Transportation
0fee3b1a-a3b6-4b93-b589-638d44a67590,Climate
fb480ae2-d961-4339-af53-025054eb2967,Public Safety
7b8d7e14-d469-4ffa-9b4b-06c166d12c3d,Water
7b8d7e14-d469-4ffa-9b4b-06c166d12c3d,Elections
35fe0d8e-0661-4a43-9bf6-ac0a7d64c7e8,Water
35fe0d8e-0661-4a43-9bf6-ac0a7d64c7e8,Finance
35fe0d8e-0661-4a43-9bf6-ac0a7d64c7e8,Health
150dfd83-103e-4633-a4f0-a982cbfab195,Energy
150dfd83-103e-4633-a4f0-a982cbfab195,Labor
2d9a803c-4fe8-4704-96cd-3d0f63d0cd41,Geospatial
2d9a803c-4fe8-4704-96cd-3d0f63d0cd41,Business
2d9a803c-4fe8-4704-96cd-3d0f63d0cd41,Public Safety
464fc6fb-8265-42ab-b50c-c662f3d2b19f,Geospatial
464fc6fb-8265-42ab-b50c-c662f3d2b19f,Education
ee21c7e6-7277-4efa-9664-074ef8ac49f9,Criminal Justice
ee21c7e6-7277-4efa-9664-074ef8ac49f9,Education
ee21c7e6-7277-4efa-9664-074ef8ac49f9,Demographics
c0cbefd4-5372-4c2f-9984-385e0742c56c,Health
8e2bc2e5-156d-428a-8017-23dc11c0e982,Social Services
8e2bc2e5-156d-428a-8017-23dc11c0e982,Water
8782b046-9391-4f11-b135-90e3912a4f8e,Demographics
b73a1e0c-291d-45f4-9258-66799b5694c8,Business
b73a1e0c-291d-45f4-9258-66799b5694c8,Climate
b73a1e0c-291d-45f4-9258-66799b5694c8,Criminal Justice
af7744d4-2e18-4075-b3c6-86be4650e537,Social Services
89d8e1cd-33f3-4145-8ffa-19008fdb0686,Transportation
89d8e1cd-33f3-4145-8ffa-19008fdb0686,Weather
747b578e-83ab-4282-8146-70b5f13bc94c,Finance
747b578e-83ab-4282-8146-70b5f13bc94c,Criminal Justice
18ab3e3e-1d96-4fb4-9288-3c2745f44059,Science & Research
18ab3e3e-1d96-4fb4-9288-3c2745f44059,Water
3c29b03f-1ecf-4609-a380-7e2c597688e1,Criminal Justice
3c29b03f-1ecf-4609-a380-7e2c597688e1,Public Safety
27f6cdf5-bb47-4407-a26c-bbaf7083ea58,Finance
27f6cdf5-bb47-4407-a26c-bbaf7083ea58,Agriculture
c03284cb-6601-4f4d-a85c-1229fdcfc63c,Business
c03284cb-6601-4f4d-a85c-1229fdcfc63c,Environment
c03284cb-6601-4f4d-a85c-1229fdcfc63c,Geospatial
095438b4-b062-458c-8a2c-306526995f0c,Science & Research
095438b4-b062-458c-8a2c-306526995f0c,Water
f3d3fa9a-9e01-41a9-9495-1f18fd6a3baa,Education
a7aa03be-a095-4e9a-9db6-563eb3892692,Energy
a7aa03be-a095-4e9a-9db6-563eb3892692,Education
c942b3ef-9fa0-4ce8-9d15-cc1e9144729c,Water
c942b3ef-9fa0-4ce8-9d15-cc1e9144729c,Health
cbd17bdd-bfb5-4dbd-a0e4-989c84f865ef,Labor
cbd17bdd-bfb5-4dbd-a0e4-989c84f865ef,Water
f00c6912-7d21-4ca0-b92c-61d9b2c547f5,Social Services
f00c6912-7d21-4ca0-b92c-61d9b2c547f5,Geospatial
ccf9b393-517a-4368-8aa5-e5b1d3ce66b3,Criminal Justice
ccf9b393-517a-4368-8aa5-e5b1d3ce66b3,Demographics
575f2e10-b90a-45e3-b882-eb89f7265f9d,Labor
ac748731-e823-4d37-95df-b79796ddcacc,Criminal Justice
