dataset_uuid,organization_uuid,name,description,access_level,license,metadata_created,metadata_modified,maintainer_email,maintainer_name,identifier
83846155-c7b1-46da-bf47-95e1ac7e2b8b,a9817270-ab22-5d9a-bb87-c241b4039796,Public Safety Monitoring Records 2010,Federal dataset for public safety monitoring records 2010. Includes historical records and current measurements across multiple geographic regions.,restricted public,Other (Open),2013-10-08 21:43:51,2022-04-08 23:10:53,eddata@ed.gov,Data Quality Group,public-safety-monitoring-records-2010-83846155
35ed404c-2aea-4703-b7ba-3fe7f7096396,ea548bb9-4b2c-5f08-be80-218c30e7a80e,Geospatial Statistics by Metropolitan (2014),Federal dataset for geospatial statistics by metropolitan (2014). Includes historical records and current measurements across multiple geographic regions.,public,U.S. Government Work,2013-09-02 06:29:20,2021-11-22 12:17:48,census.data@census.gov,Data Dissemination,geospatial-statistics-by-metropolitan-2014-35ed404c
02769bd0-1908-4ff0-91ae-2c568a4c6a3b,17eef301-f812-5976-9a91-c4ccbb932885,National Agriculture Survey Results,Comprehensive agriculture statistics for research and policy analysis. Data sourced from official government records and surveys.,public,Open Data Commons Public Domain,2016-12-19 04:15:08,2022-08-27 21:07:36,dot.data@dot.gov,Data Services,national-agriculture-survey-results-02769bd0
ff1aff7c-f3f6-4193-819e-a93f7bf30e6c,d4c3c80c-8abd-5cd3-8818-8b5b10f5f257,Coastal Demographics Survey Results,This dataset contains demographics data collected by federal agencies. It covers key indicators relevant to coastal demographics survey results and is updated periodically.,public,Other (Open),2017-09-29 20:15:06,2023-11-28 09:54:43,nps_data@nps.gov,Data Management,coastal-demographics-survey-results-ff1aff7c
064fefca-7c0f-41b3-af91-ac612cc827ce,7b30979e-2805-5bdb-b8d7-7122baf8a47b,Agriculture Monitoring Records 2011,Federal dataset for agriculture monitoring records 2011. Includes historical records and current measurements across multiple geographic regions.,public,Other (Open),2020-10-10 11:40:57,2024-08-24 14:45:09,data@faa.gov,Statistics Division,agriculture-monitoring-records-2011-064fefca
789fb37e-96d4-4d15-92df-346635831b43,a9817270-ab22-5d9a-bb87-c241b4039796,Federal Geospatial Database 2020,"Open government dataset providing detailed geospatial information. Suitable for academic research, journalism, and data science applications.",public,Open Data Commons Public Domain,2013-10-09 00:31:54,2021-10-27 05:31:13,eddata@ed.gov,Data Quality Group,federal-geospatial-database-2020-789fb37e
f8490db0-0dcb-4e6a-9509-f12ef8908682,3eaccee0-381b-5fbe-af5a-5522264844df,Rural Environment Survey Results,Comprehensive environment statistics for research and policy analysis. Data sourced from official government records and surveys.,public,Creative Commons CCZero,2017-03-30 22:31:28,2024-06-11 00:05:18,data@dol.gov,Chief Data Officer,rural-environment-survey-results-f8490db0
ee291a13-d4a8-4c17-a939-56e4325af4ae,78eb6bf4-8b08-5c00-8a7c-d4031db1b218,National Geospatial Inventory 2014,Comprehensive geospatial statistics for research and policy analysis. Data sourced from official government records and surveys.,public,License Not Specified,2011-05-10 23:12:20,2020-09-01 23:34:48,opendata@state.ca.gov,CDT Open Data,national-geospatial-inventory-2014-ee291a13
7ff98ac9-ff9c-4fe2-ab1b-976cdf8e5364,055bfdfa-c4cf-5c04-98fc-353d22c8f47d,City-Level Science & Research Trends 2012-2013,Federal dataset for city-level science & research trends 2012-2013. Includes historical records and current measurements across multiple geographic regions.,public,U.S. Government Work,2010-07-06 01:35:18,2023-11-29 04:40:55,data@epa.gov,Data Governance,city-level-science-research-trends-2012-2013-7ff98ac9
bf27713f-2900-455e-93f2-b13e2c8c6042,877f0cfd-1a57-54ad-8616-23509f53d594,Education Monitoring Records 2011,Comprehensive education statistics for research and policy analysis. Data sourced from official government records and surveys.,public,Creative Commons Attribution,2017-01-22 21:03:09,2020-11-01 18:19:05,noaa.data@noaa.gov,Data Management,education-monitoring-records-2011-bf27713f
98c97ba3-2b4e-40f8-86fa-6d1400f7a3e3,b9c8c37c-1d4c-5321-99f8-66b7c4a96293,Annual Climate Report - Federal Emergency Management,This dataset contains climate data collected by federal agencies. It covers key indicators relevant to annual climate report - federal emergency management and is updated periodically.,public,Creative Commons Attribution,2017-01-06 06:16:42,2020-06-15 05:15:11,femadata@fema.dhs.gov,OpenFEMA,annual-climate-report-federal-emergency-management-98c97ba3
fdd02907-a3f4-44d2-ba3b-a73e4398340c,33a3d471-d1cf-551f-ad4f-b99ae751c997,City-Level Education Survey Results,Comprehensive education statistics for research and policy analysis. Data sourced from official government records and surveys.,public,Open Data Commons Public Domain,2018-11-01 20:37:42,2024-07-04 06:27:07,blsdata@bls.gov,Data Policy,city-level-education-survey-results-fdd02907
2c9fab4d-fa71-4ea5-b897-303fa77810d5,33a3d471-d1cf-551f-ad4f-b99ae751c997,National Energy Inventory 2021,This dataset contains energy data collected by federal agencies. It covers key indicators relevant to national energy inventory 2021 and is updated periodically.,restricted public,License Not Specified,2020-07-28 08:32:34,2022-10-08 14:05:38,blsdata@bls.gov,Data Policy,national-energy-inventory-2021-2c9fab4d
92b1a511-10f9-449a-822c-e485a163bd70,55564db0-b0e3-58d0-922e-9bb646183f6f,Public Safety Statistics by State-Level (2022),Federal dataset for public safety statistics by state-level (2022). Includes historical records and current measurements across multiple geographic regions.,non-public,Creative Commons Attribution,2015-04-12 16:41:28,2021-07-23 05:37:27,info@usda.gov,Communications Office,public-safety-statistics-by-state-level-2022-92b1a511
94be9026-81c6-4624-9b11-3d10bb3a24ca,2e700355-61d6-530f-b2ef-15217fcfd96f,Rural Demographics Trends 2010-2011,This dataset contains demographics data collected by federal agencies. It covers key indicators relevant to rural demographics trends 2010-2011 and is updated periodically.,public,Other (Open),2010-12-27 10:16:20,2020-08-25 12:55:32,dataportal@cityofchicago.org,Data Analytics,rural-demographics-trends-2010-2011-94be9026
3234deba-8982-4643-856e-a781a8bc0ada,05cef825-2b53-52ec-98ae-1232be6a74a7,National Elections Inventory 2017,"Open government dataset providing detailed elections information. Suitable for academic research, journalism, and data science applications.",public,Other (Open),2011-05-13 00:40:38,2024-06-24 07:45:10,nasa-data@nasa.gov,Data Services,national-elections-inventory-2017-3234deba
465ebcd8-0e12-4cbc-98a2-dd38a0f60a11,81a78c8e-2f45-5900-9dc6-29316659f33a,Public Safety Monitoring Records 2017,Comprehensive public safety statistics for research and policy analysis. Data sourced from official government records and surveys.,restricted public,Open Data Commons Public Domain,2015-02-14 17:09:24,2021-01-25 19:32:47,opa@ssa.gov,Open Data,public-safety-monitoring-records-2017-465ebcd8
1c0a43fc-c1b0-4b10-ba4a-962692954df4,b5e19456-28d5-581c-bf70-d015b6f89c34,Urban Water Trends 2022-2023,Federal dataset for urban water trends 2022-2023. Includes historical records and current measurements across multiple geographic regions.,public,Creative Commons Attribution,2014-03-26 14:59:20,2024-11-15 06:44:15,data@federalreserve.gov,Research Data,urban-water-trends-2022-2023-1c0a43fc
a90d5595-53bf-4162-a354-96a17cc8afd2,ea548bb9-4b2c-5f08-be80-218c30e7a80e,Social Services Indicators Dashboard,Federal dataset for social services indicators dashboard. Includes historical records and current measurements across multiple geographic regions.,restricted public,Creative Commons CCZero,2019-10-21 14:06:33,2022-07-24 00:46:09,census.data@census.gov,Data Dissemination,social-services-indicators-dashboard-a90d5595
22b550e4-5dd7-4ccc-b0fd-97a0ac5f6408,edd359ae-a154-5e6e-9317-3a7cab6d8290,Demographics Monitoring Records 2023,Comprehensive demographics statistics for research and policy analysis. Data sourced from official government records and surveys.,public,Creative Commons Attribution,2010-05-28 19:04:15,2023-07-16 21:58:18,fws_data@fws.gov,Geospatial Services,demographics-monitoring-records-2023-22b550e4
ca0e61cf-4a1b-4624-925d-5c0e821e4b23,17eef301-f812-5976-9a91-c4ccbb932885,National Transportation Inventory 2015,Comprehensive transportation statistics for research and policy analysis. Data sourced from official government records and surveys.,public,U.S. Government Work,2014-10-31 04:15:33,2022-04-23 18:43:50,dot.data@dot.gov,Data Services,national-transportation-inventory-2015-ca0e61cf
cb2a6de4-dc1d-4590-b926-21f8a63ec5f4,33a3d471-d1cf-551f-ad4f-b99ae751c997,Regional Science & Research Trends 2012-2013,Federal dataset for regional science & research trends 2012-2013. Includes historical records and current measurements across multiple geographic regions.,restricted public,Creative Commons CCZero,2014-12-15 11:37:19,2023-08-01 13:44:16,blsdata@bls.gov,Data Policy,regional-science-research-trends-2012-2013-cb2a6de4
80ead091-f2af-4908-acd6-349d987ec4af,f702af7c-3b01-5abd-8846-78fd4f1787b2,Federal Public Safety Database 2023,Comprehensive public safety statistics for research and policy analysis. Data sourced from official government records and surveys.,public,Open Data Commons Public Domain,2020-03-18 19:47:31,2024-09-01 09:49:51,nihod@nih.gov,Open Data Office,federal-public-safety-database-2023-80ead091
c1bceb62-dd96-48e5-a1e8-85b5280bf6f9,17eef301-f812-5976-9a91-c4ccbb932885,Science & Research Statistics by ZIP Code (2019),Comprehensive science & research statistics for research and policy analysis. Data sourced from official government records and surveys.,public,Other (Open),2018-03-19 04:05:58,2021-08-27 10:47:26,dot.data@dot.gov,Data Services,science-research-statistics-by-zip-code-2019-c1bceb62
61d5432e-02ff-483f-a240-00687170a599,877f0cfd-1a57-54ad-8616-23509f53d594,U.S. Department of Geospatial Dataset 2022,Federal dataset for u.s. department of geospatial dataset 2022. Includes historical records and current measurements across multiple geographic regions.,public,Other (Open),2019-08-25 21:46:43,2022-03-24 17:23:05,noaa.data@noaa.gov,Data Management,u-s-department-of-geospatial-dataset-2022-61d5432e
249219cd-3e42-4dd2-9872-021920d6dbfa,b5e19456-28d5-581c-bf70-d015b6f89c34,Coastal Agriculture Trends 2015-2016,"Open government dataset providing detailed agriculture information. Suitable for academic research, journalism, and data science applications.",public,U.S. Government Work,2012-06-25 20:04:40,2024-08-14 14:58:44,data@federalreserve.gov,Research Data,coastal-agriculture-trends-2015-2016-249219cd
f18a1f3e-5755-4dc7-b8ad-08d88638849f,edd359ae-a154-5e6e-9317-3a7cab6d8290,Finance Monitoring Records 2015,Federal dataset for finance monitoring records 2015. Includes historical records and current measurements across multiple geographic regions.,public,Open Data Commons Public Domain,2014-09-13 18:47:46,2020-11-12 13:41:06,fws_data@fws.gov,Geospatial Services,finance-monitoring-records-2015-f18a1f3e
f6a0ac90-f820-49fe-87a8-effd93c71629,28fe1fbe-4f76-5fb3-b3a6-ded13e2faa90,Elections Indicators Dashboard,Comprehensive elections statistics for research and policy analysis. Data sourced from official government records and surveys.,public,Other (Open),2013-02-04 06:07:54,2024-08-14 14:05:42,cdcinfo@cdc.gov,Public Health Data,elections-indicators-dashboard-f6a0ac90
826106ad-06ce-488a-af7b-297c5a285684,47f1c7c4-b955-570a-95c9-c989daae1511,Federal Elections Database 2013,Comprehensive elections statistics for research and policy analysis. Data sourced from official government records and surveys.,non-public,Other (Open),2013-09-07 04:50:57,2023-05-05 00:17:54,data@who.int,Global Data,federal-elections-database-2013-826106ad
38950180-5fbb-43a2-8ae4-81b08d90589d,d4c3c80c-8abd-5cd3-8818-8b5b10f5f257,U.S. Department of Transportation Dataset 2014,Federal dataset for u.s. department of transportation dataset 2014. Includes historical records and current measurements across multiple geographic regions.,public,Other (Open),2011-06-04 23:26:33,2020-08-20 23:04:30,nps_data@nps.gov,Data Management,u-s-department-of-transportation-dataset-2014-38950180
4210c6d6-353f-4bad-b09e-d25f9b5d58b4,81a78c8e-2f45-5900-9dc6-29316659f33a,Science & Research Statistics by Rural (2010),Federal dataset for science & research statistics by rural (2010). Includes historical records and current measurements across multiple geographic regions.,public,U.S. Government Work,2019-07-03 12:27:43,2020-08-09 15:45:58,opa@ssa.gov,Open Data,science-research-statistics-by-rural-2010-4210c6d6
ed24d74d-6290-465d-9998-b562d877aea7,78eb6bf4-8b08-5c00-8a7c-d4031db1b218,Federal Transportation Database 2018,Comprehensive transportation statistics for research and policy analysis. Data sourced from official government records and surveys.,public,Creative Commons CCZero,2015-02-02 16:38:27,2020-07-22 22:07:54,opendata@state.ca.gov,CDT Open Data,federal-transportation-database-2018-ed24d74d
6cf127b1-4959-46bb-bff7-23e173dfb11a,2e700355-61d6-530f-b2ef-15217fcfd96f,Annual Environment Report - U.S. Department of,This dataset contains environment data collected by federal agencies. It covers key indicators relevant to annual environment report - u.s. department of and is updated periodically.,public,Other (Open),2011-01-17 13:06:47,2024-02-22 11:51:08,dataportal@cityofchicago.org,Data Analytics,annual-environment-report-u-s-department-of-6cf127b1
c3d1e359-6687-42ca-810c-d03437099487,ce969544-a876-5089-a4f4-33b84dbb3aea,Federal Water Database 2018,"Open government dataset providing detailed water information. Suitable for academic research, journalism, and data science applications.",public,Open Data Commons Public Domain,2011-09-26 21:30:14,2024-10-01 03:22:54,gs-w_data@usgs.gov,Data Management,federal-water-database-2018-c3d1e359
b6989946-3af2-4d2e-ae29-f209e49e3069,78eb6bf4-8b08-5c00-8a7c-d4031db1b218,U.S. Department of Public Safety Dataset 2014,Federal dataset for u.s. department of public safety dataset 2014. Includes historical records and current measurements across multiple geographic regions.,public,License Not Specified,2020-05-02 10:22:00,2021-01-06 04:36:42,opendata@state.ca.gov,CDT Open Data,u-s-department-of-public-safety-dataset-2014-b6989946
8cbb2bcd-dc65-4f1a-b377-56d161f6573c,ce969544-a876-5089-a4f4-33b84dbb3aea,Federal Transportation Database 2019,This dataset contains transportation data collected by federal agencies. It covers key indicators relevant to federal transportation database 2019 and is updated periodically.,public,License Not Specified,2019-11-28 01:09:10,2024-03-25 19:03:43,gs-w_data@usgs.gov,Data Management,federal-transportation-database-2019-8cbb2bcd
bd283ba1-2e33-4a07-a05c-df901d1ff7a5,2e700355-61d6-530f-b2ef-15217fcfd96f,City-Level Criminal Justice Trends 2020-2021,Comprehensive criminal justice statistics for research and policy analysis. Data sourced from official government records and surveys.,public,Open Data Commons Public Domain,2010-07-06 07:25:38,2020-04-22 00:13:19,dataportal@cityofchicago.org,Data Analytics,city-level-criminal-justice-trends-2020-2021-bd283ba1
c90f454c-0414-4e51-a1f6-f798775b0f79,78eb6bf4-8b08-5c00-8a7c-d4031db1b218,ZIP Code Labor Trends 2023-2024,This dataset contains labor data collected by federal agencies. It covers key indicators relevant to zip code labor trends 2023-2024 and is updated periodically.,restricted public,Other (Open),2010-10-23 12:55:47,2020-03-27 13:01:29,opendata@state.ca.gov,CDT Open Data,zip-code-labor-trends-2023-2024-c90f454c
d745dea1-f5f9-4cef-9f9d-e4b97e8d316a,7b30979e-2805-5bdb-b8d7-7122baf8a47b,Health Monitoring Records 2023,This dataset contains health data collected by federal agencies. It covers key indicators relevant to health monitoring records 2023 and is updated periodically.,public,Open Data Commons Public Domain,2010-12-27 13:54:06,2021-05-13 13:37:25,data@faa.gov,Statistics Division,health-monitoring-records-2023-d745dea1
9cf6524c-82c2-43b3-a697-b059dd929ef5,28fe1fbe-4f76-5fb3-b3a6-ded13e2faa90,Annual Finance Report - U.S. Department of,Federal dataset for annual finance report - u.s. department of. Includes historical records and current measurements across multiple geographic regions.,public,Other (Open),2012-03-19 05:38:09,2024-04-05 20:04:11,cdcinfo@cdc.gov,Public Health Data,annual-finance-report-u-s-department-of-9cf6524c
424e272e-00d1-4868-86e6-eae60546e43b,33a3d471-d1cf-551f-ad4f-b99ae751c997,Federal Science & Research Database 2010,"Open government dataset providing detailed science & research information. Suitable for academic research, journalism, and data science applications.",public,U.S. Government Work,2015-09-10 02:19:29,2022-07-14 01:03:23,blsdata@bls.gov,Data Policy,federal-science-research-database-2010-424e272e
68e49e78-bb75-4df3-adc1-a37a4ffebc4b,b5e19456-28d5-581c-bf70-d015b6f89c34,Social Services Statistics by Regional (2017),Comprehensive social services statistics for research and policy analysis. Data sourced from official government records and surveys.,public,Creative Commons Attribution,2019-02-04 10:45:05,2022-10-30 20:11:02,data@federalreserve.gov,Research Data,social-services-statistics-by-regional-2017-68e49e78
9097d17d-8a49-46e4-a2d6-7eefd63f3736,1cfe6182-d24e-55cd-bf9c-ed4571e81522,Transportation Indicators Dashboard,Comprehensive transportation statistics for research and policy analysis. Data sourced from official government records and surveys.,public,Other (Open),2017-08-10 12:18:16,2024-01-22 21:58:38,opendata@records.nyc.gov,Open Data Team,transportation-indicators-dashboard-9097d17d
a646b9eb-1409-4575-bf62-b9b880ed5b0d,7b30979e-2805-5bdb-b8d7-7122baf8a47b,Metropolitan Finance Trends 2011-2012,Federal dataset for metropolitan finance trends 2011-2012. Includes historical records and current measurements across multiple geographic regions.,public,Creative Commons CCZero,2015-09-14 11:01:23,2021-09-24 05:13:21,data@faa.gov,Statistics Division,metropolitan-finance-trends-2011-2012-a646b9eb
733cca93-fcce-445e-99b6-74c2f442e53b,7b30979e-2805-5bdb-b8d7-7122baf8a47b,Federal Weather Database 2016,Comprehensive weather statistics for research and policy analysis. Data sourced from official government records and surveys.,public,U.S. Government Work,2011-10-27 05:53:44,2024-04-28 19:51:57,data@faa.gov,Statistics Division,federal-weather-database-2016-733cca93
8e2746f9-2bd2-4117-a889-dd112bac99fe,edd359ae-a154-5e6e-9317-3a7cab6d8290,Labor Monitoring Records 2024,Federal dataset for labor monitoring records 2024. Includes historical records and current measurements across multiple geographic regions.,non-public,Creative Commons CCZero,2014-02-15 21:36:28,2022-08-03 09:49:24,fws_data@fws.gov,Geospatial Services,labor-monitoring-records-2024-8e2746f9
8d4b2999-fa02-406f-a040-9e9c96fe72aa,47f1c7c4-b955-570a-95c9-c989daae1511,Health Monitoring Records 2024,This dataset contains health data collected by federal agencies. It covers key indicators relevant to health monitoring records 2024 and is updated periodically.,public,Creative Commons Attribution,2011-08-27 13:05:58,2021-03-30 14:56:22,data@who.int,Global Data,health-monitoring-records-2024-8d4b2999
e537cfcf-7edb-4d20-9154-9a3b21707daa,78eb6bf4-8b08-5c00-8a7c-d4031db1b218,U.S. Census Bureau Transportation Dataset 2010,This dataset contains transportation data collected by federal agencies. It covers key indicators relevant to u.s. census bureau transportation dataset 2010 and is updated periodically.,restricted public,U.S. Government Work,2020-04-15 15:44:53,2020-10-11 22:30:28,opendata@state.ca.gov,CDT Open Data,u-s-census-bureau-transportation-dataset-2010-e537cfcf
8003204b-36f1-40c9-9b0a-b4ece69b1f47,877f0cfd-1a57-54ad-8616-23509f53d594,U.S. Department of Open Data: Climate,Comprehensive climate statistics for research and policy analysis. Data sourced from official government records and surveys.,public,Open Data Commons Public Domain,2015-02-16 02:07:53,2022-10-20 19:34:01,noaa.data@noaa.gov,Data Management,u-s-department-of-open-data-climate-8003204b
